condition,frequency_band,mean_complexity,std_complexity,n_epochs,n_bins
awake_eyes_open,delta,3.9225561234939144,1.1501289643127397,60,10
awake_eyes_open,theta,3.2577403662896804,1.5695164005353264,60,10
awake_eyes_open,alpha,4.455752933725061,1.5640991010050795,60,10
awake_eyes_open,beta,9.367955169020517,1.2795214596066171,60,10
awake_eyes_open,gamma,8.542994271034843,1.3246315653971372,60,10
awake_eyes_open,broadband,4.290525006015149,1.6283556307562987,60,10
sedation,delta,7.839258385824514,0.2023674472319537,12,10
sedation,theta,9.510019718570177,0.21055446702805708,12,10
sedation,alpha,9.915801000315154,0.433273138883014,12,10
sedation,beta,10.318342812239576,0.2781168357589068,12,10
sedation,gamma,12.001463241505968,0.06972771104388976,12,10
sedation,broadband,10.322803728080101,0.2242743869066936,12,10
